Metacritic,Recomendaciones,Propietarios,Jugadores,Precio
57,577,95773,53087,4.99
67,0,26544,12196,9.99
0,0,0,0,0.0
69,804,177915,95773,29.99
0,301,21881,19370,9.99
37,779,66180,43582,4.99
0,0,0,0,9.99
67,1944,207328,149219,14.99
48,144,32821,11120,9.99
76,111,16680,13272,9.99
75,1171,244633,142224,9.99
0,338,114066,53626,9.99
52,1268,192801,99001,19.99
85,2564,493570,296465,14.99
67,1866,1007407,418602,0.0
0,1031,476711,113349,0.0
0,898,0,0,0.0
79,219763,7278903,6745338,19.99
59,4551,633463,422906,9.99
0,127,57751,16859,5.99
75,5684,1524292,1080581,19.99
0,0,17397,5022,13.99
63,2171,637767,273329,9.99
76,1714,349911,234051,19.99
0,0,13093,10044,29.99
0,0,26185,3408,4.99
85,30833,2037232,1764262,9.99
0,522,89495,57751,9.99
0,264,87164,50397,9.99
79,42478,4135801,3673259,24.99
80,2230,409455,215758,9.99
79,43420,3900853,3375359,14.99
81,3042,307046,229388,9.99
82,9307,1045249,789497,19.99
75,1091,361210,136844,19.19
0,400,255214,42685,7.99
83,10412,758828,680990,24.99
72,683,157469,81066,8.99
85,1651,257546,238356,19.99
88,36011,3048584,2704771,19.99
0,0,5201,3766,19.99
85,8547,903025,651218,29.99
0,679,133257,91468,9.99
78,876,356009,153523,19.19
0,1349,195850,140789,9.99
76,3167,472766,352960,4.99
0,316,153703,52011,4.99
69,10113,987140,818731,29.99
68,5572,775149,492315,9.99
88,17556,910917,708790,2.99
68,1379,273867,198361,14.99
73,225,113708,28696,19.99
88,24879,2061623,1717631,14.99
0,392,118729,84832,7.99
0,328,43403,22777,4.99
55,0,12196,6815,2.99
0,636,108148,62593,14.99
0,505,116039,70484,14.99
77,3977,615528,356906,29.99
0,0,29593,8250,0.0
72,450,46990,36229,19.99
0,297,82680,40174,9.99
74,48918,3102568,2548199,9.99
0,2638,403357,267769,19.99
0,2071,257725,197105,2.99
54,3541,115142,103126,23.99
77,1353,626289,291084,14.99
52,244,97925,55060,9.99
80,208,38740,23136,14.99
59,19784,1454525,1142995,9.99
76,744,124110,74789,14.99
0,17968,2785658,1780941,0.0
80,355,94697,54881,9.99
0,824,173610,112273,14.99
0,824,173610,45196,14.99
0,215,19370,7712,9.99
63,2759,314220,279965,39.99
64,1121,540022,243019,7.99
0,42348,7067629,4447152,0.0
70,278,274226,52011,6.99
0,117,20267,15783,29.99
62,3140,224546,127159,9.99
69,5754,535538,414118,14.99
0,17596,1132951,1053320,14.99
64,9269,3409615,1668848,0.0
79,997,121240,92903,6.99
0,392,107251,39636,19.99
0,602,281399,93441,6.99
77,215,272253,44837,6.99
0,1174,769589,253421,6.99
0,238,561902,66180,6.99
0,148,552755,54343,6.99
0,294,558853,73892,6.99
90,22471,1244507,713811,14.99
0,1350,422368,212709,9.99
80,6720,1179762,693365,14.99
0,972,288215,157469,12.99
0,477,764388,114963,6.99
0,302,762594,100974,6.99
41,686,83936,59185,14.99
74,18741,906074,821780,59.99
72,3592,324264,264541,9.99
0,5917,1432106,1033233,0.0
68,428,57930,38381,9.99
79,434,307764,73175,4.99
52,574,56674,32462,14.99
82,846,105099,88240,14.99
0,1862,495902,213426,24.99
0,760,140072,101871,9.99
0,0,7891,6636,19.99
72,975,109045,59365,9.99
70,2035,375379,105278,14.99
62,3101,483526,428646,14.99
0,1111,123393,105099,19.99
79,835,178632,63310,9.99
79,1397,245171,146349,14.99
0,279,45375,34076,9.99
58,2097,304715,249117,9.99
0,443,123572,47528,7.99
67,1394,131643,102588,4.99
0,8759,322112,292519,9.99
60,8313,3018095,1403949,0.0
0,1030,711480,106892,9.99
70,146,25647,16500,9.99
65,7310,732105,452678,29.99
68,184,206611,52908,14.99
0,6056,317449,303998,39.99
77,3393,287139,202665,19.99
0,728,51832,43044,14.99
0,695,12016,10940,0.0
0,629,130387,102947,14.99
0,0,533,0,19.99
59,805,83577,60800,16.99
60,350,135050,54881,12.99
76,659,71022,65283,19.99
0,0,25109,19549,14.99
74,301,160159,58827,9.99
87,11048,1206305,856036,0.0
0,477,19190,18114,14.99
53,244,71740,22060,0.0
68,97562,14497544,8970528,0.0
80,1359,246785,149936,14.99
75,1010,283731,104202,19.19
51,1517,87881,63310,9.99
0,509,46093,38919,4.94
83,0,295927,90392,0.0
75,0,412683,162491,9.99
87,0,694621,355650,14.99
81,0,203741,109045,24.99
73,0,108865,52908,9.99
53,0,126262,71919,0.0
0,0,72099,41071,19.99
68,0,28158,20087,0.0
0,0,1046325,1010456,29.99
86,0,689958,439048,19.99
59,0,257187,161056,49.99
56,0,342558,192442,1.99
73,0,547196,321036,24.99
69,0,123572,44837,9.99
73,0,916118,686192,39.99
80,0,367667,242660,9.99
66,0,147605,83398,9.99
43,0,27082,16321,17.99
76,0,132898,88778,4.99
81,0,1225854,849220,14.99
59,0,739100,371612,29.99
0,0,58289,31027,5.99
74,0,86447,41071,24.99
0,0,23495,12375,1.99
61,0,431874,345786,9.99
0,0,42865,24930,4.99
0,0,150116,59903,9.99
0,0,109045,102767,19.99
71,0,1731620,1486808,2.49
68,0,427928,331617,12.99
0,0,351166,268307,29.99
73,0,1150707,1006331,39.99
66,0,217551,123751,39.99
0,0,677941,303101,4.99
0,0,84653,44479,9.99
59,0,112632,20625,9.99
78,0,776404,412504,12.99
0,0,168051,105816,9.99
82,0,0,0,19.99
76,0,969923,754524,14.99
80,0,531054,486217,0.0
75,807,191187,102588,9.99
71,330,64566,33359,14.99
0,0,201051,87523,14.99
49,0,28696,10044,0.0
78,1735,454113,204817,14.99
65,2745,595441,276198,0.0
0,0,233513,88061,0.0
83,11188,637946,511326,29.99
79,9843,653191,618577,29.99
0,8216,845813,708072,29.99
75,0,255573,46810,0.0
0,0,7174,5919,4.99
77,0,93441,55778,8.99
0,0,1107125,751295,14.99
0,0,2546405,1911149,0.0
70,0,248399,208584,34.99
0,0,258263,208942,9.99
91,0,1081478,1021575,39.99
0,0,281938,201589,9.99
0,0,11837,7891,0.0
47,0,6277,4842,9.99
34,0,253421,191904,4.99
0,0,5739,3587,0.0
77,0,289291,114066,14.99
0,8552,407124,360851,14.99
0,338,34614,17218,9.99
0,0,51473,7353,19.99
0,11249,1034847,934232,19.99
0,4967,1090087,597055,0.0
0,217,82680,22777,14.99
0,223,31027,20984,9.99
66,2669,209480,182219,14.99
77,2250,135768,114784,9.99
0,335,46272,19011,9.99
72,1917,236203,116936,29.99
0,3886,257725,241225,24.99
45,1457,193698,149219,14.99
83,13687,1127391,833976,19.99
65,0,14348,5560,24.99
91,8724,1489857,972613,19.99
0,164,51473,28696,9.99
0,717,606381,205176,0.0
0,7578,1081837,952705,49.99
92,3216,722958,412504,9.99
0,2040,230644,175404,14.99
62,1330,222932,169127,9.99
80,23548,1532184,1164338,19.99
69,2894,452858,333770,14.99
62,10971,1065337,824829,9.99
85,31040,2208690,1932492,14.99
0,311,57571,27620,7.99
73,197,41788,25109,9.99
20,358,36587,33000,14.99
86,33124,6170343,4071056,0.0
85,16216,1602489,1413095,3.99
72,4760,863389,661262,9.99
78,309,18473,15424,14.99
87,32099,1614684,1547966,59.99
70,10768,1380812,1001129,29.99
72,4069,533386,284090,19.99
64,11512,2217837,1344943,0.0
58,1923,177735,117474,39.99
0,808,355830,74071,9.99
0,2063,582169,269024,0.0
0,115,9864,6098,19.99
0,1519,130746,103843,4.99
0,4051,1122190,470255,0.0
0,0,5919,3587,9.99
0,0,6277,3049,9.99
82,238,13810,12734,19.99
70,2879,92186,85012,49.99
0,167,17576,16321,14.99
68,137,13093,7712,9.99
87,6613,633821,443890,39.99
79,358,85370,40533,9.99
77,1406,111376,94517,29.99
67,763,134153,65821,9.99
73,1017,170741,131105,9.99
79,17042,1032157,939612,0.0
71,10427,333052,325161,29.99
85,12332,1250784,1157343,14.99
73,1202,130387,101512,14.99
57,118,6995,5380,19.99
80,900,326954,106713,19.19
0,30701,2593574,2274870,29.99
0,16623,1277686,1077174,29.99
82,325,315655,123931,14.99
57,418,31386,19549,24.99
40,276,96131,42685,9.99
89,2290,212529,173252,29.99
0,2951,425238,278530,29.99
88,6652,368922,294671,11.99
0,7372,880786,760801,19.99
0,9530,3150634,1186039,0.0
0,51125,2436105,2322756,14.99
0,388,82680,44658,14.99
0,2173,101512,69588,2.99
80,2622,181502,88957,4.99
0,766,55060,42685,19.99
70,15969,524777,493570,24.99
63,2853,447477,311172,19.99
0,252,234051,41250,6.99
0,325,221676,29951,6.99
0,0,9506,2511,6.99
0,2071,272970,167871,4.99
69,0,17218,6636,9.99
78,296,111914,39636,14.99
79,792,291981,96311,19.19
0,180,37663,17935,6.99
58,1346,169306,124827,6.99
77,17516,727442,666463,29.99
73,1799,194953,132898,24.99
56,2093,209660,133077,29.99
0,1263,295568,207866,39.99
82,2209,257008,194594,19.99
0,399,76762,55060,17.99
68,6725,455189,423444,29.99
0,1206,225084,111555,0.0
59,167,62772,33538,9.99
69,2115,205176,130028,9.99
73,1514,257546,165002,4.99
0,1996,228491,182757,14.99
69,500,104023,73354,14.99
0,53882,2100542,1883350,24.99
0,3029,209122,159621,7.99
0,137,72995,29772,9.99
72,530,22598,17397,14.99
74,128,39098,13272,7.99
0,0,11120,3228,6.99
66,744,144914,54881,14.99
83,10264,811019,617142,9.99
70,2664,306688,165540,19.99
0,0,13989,7174,19.99
0,606,138458,76044,5.99
0,0,91110,22419,4.99
0,0,91110,16859,4.99
85,293,113170,35870,9.99
0,254,28696,19908,9.99
0,538,27261,20087,49.99
73,606,224366,94517,13.37
0,6115,1878687,1180658,0.0
0,407,40354,29055,9.99
0,3699,303818,215758,9.99
0,2210,268666,192263,19.99
0,323,86267,31566,9.99
73,2305,187958,138817,11.99
41,0,9326,3049,6.99
0,167,99718,16141,9.99
71,816,62593,52370,19.99
56,0,22598,15783,9.99
80,703,82321,56674,7.99
0,0,4842,2332,9.99
0,0,4663,3766,9.99
84,261,133436,53087,4.99
0,192,47169,29413,9.99
0,3189,397977,252524,9.99
87,6604,606560,534641,14.99
0,309,535538,227774,0.0
76,1556,231720,151909,9.99
0,0,0,0,4.99
0,301,67615,52191,6.99
0,273,87164,35511,9.99
0,686,632387,120702,6.99
0,202,39457,20625,4.99
59,1991,203024,107610,24.99
57,16685,717398,637946,4.99
0,563,43582,38919,29.99
53,3251,418423,343096,14.99
57,3061,256649,125365,14.99
0,251,72457,34076,6.99
81,2710,234231,118191,14.99
0,307,22239,15424,5.99
0,254,46990,19549,29.99
0,190,25826,17038,19.99
0,446,86447,51473,9.99
0,406,94876,19728,5.99
0,594,173252,75686,14.99
69,668,191187,57751,14.99
0,10516,2497802,1810175,0.0
83,2989,398156,280323,19.99
0,952,55778,51473,14.99
0,1014,176659,102947,3.99
0,510,175583,30848,0.49
67,325,23495,12913,6.99
0,752,54343,28696,4.99
77,18506,1368437,1187115,9.99
0,554,41430,31386,6.99
79,5463,608354,479222,11.99
78,7185,859623,741969,19.99
54,2844,104561,93262,29.99
0,0,60979,27261,2.99
0,1656,130746,96131,7.99
0,1349,90930,47528,4.99
68,1202,198002,163926,19.99
0,478,41430,37663,14.99
72,2102,571946,405868,14.99
71,529,92186,43941,9.99
73,264,36767,21522,12.99
0,0,717,539,9.99
79,745,96131,52191,14.99
0,4572,597952,432233,7.99
0,0,8967,5201,29.99
75,3395,295030,186165,14.99
0,0,47348,17397,0.0
85,16289,984091,727621,24.99
0,4319,208584,179708,9.99
60,13108,1368796,1112685,14.99
0,5074,880427,541815,0.0
0,1545,144914,104920,2.99
0,0,2152,897,12.99
0,1325,231540,138637,9.99
66,3227,182399,135768,14.99
56,298,30131,21343,3.99
0,245,34973,19370,9.99
80,603,151909,76403,14.99
0,0,6995,4842,9.99
85,6216,400129,367487,14.99
0,37982,1622576,1580070,14.99
0,265,8429,5201,14.99
0,2863,260057,217910,19.99
76,160,9326,8609,19.99
71,188,12554,8967,14.99
0,160,40892,18652,14.99
0,471,40712,29951,4.99
0,161,21522,12554,0.0
0,158,20267,13451,9.99
72,429,96131,42327,14.99
87,1371,230285,140251,14.99
60,0,9864,5919,9.99
0,361,187241,87881,4.99
0,33730,1850170,1768925,24.99
0,0,717,0,0.0
53,478,140969,72457,9.99
0,232,57392,30131,4.99
0,1548,369101,193160,23.99
0,274,73354,21163,4.99
83,476,49859,24033,14.99
59,562,85729,43223,14.99
0,2364,166616,101333,9.99
0,437,22957,21163,19.99
0,468,100615,49680,4.99
83,1758,173969,128594,14.99
80,593,139713,74071,14.99
83,306,23674,16141,4.99
0,256,116577,54522,4.99
0,153,9326,7353,9.99
49,155,13272,9864,29.99
0,206,50935,31386,9.99
0,0,95773,21701,14.99
76,549,126621,51832,9.99
65,3832,371433,269921,9.99
0,1547,158545,109403,9.99
0,457,96131,30489,4.99
76,2971,418602,247144,9.99
0,0,17756,10223,14.99
0,766,39457,36767,19.99
72,434,40354,25288,9.99
0,360,38740,24571,1.19
0,461,42685,39816,14.99
77,1291,223290,133974,14.99
75,1841,178991,100794,7.99
82,141,27799,17576,6.99
72,146,35870,17576,9.99
0,339,22419,16500,9.99
0,236,47348,23495,9.99
0,1041,67256,64028,24.99
0,0,27620,7353,9.99
86,86627,4602110,4419532,19.99
0,0,10402,7712,19.99
79,4755,807252,535897,9.99
81,2460,137740,78196,9.99
0,360,39995,27082,12.99
0,0,8609,7353,0.0
71,514,79811,40712,9.99
76,0,37125,6277,9.99
68,1469,108148,54522,14.99
0,177,26185,14527,9.99
66,0,11837,5919,4.94
0,414,186882,26902,6.99
0,4231,254318,217551,3.99
0,414,41430,26902,9.99
0,1699,224546,169665,4.99
0,294,51115,30310,9.99
0,19923,4234444,2630520,0.0
84,995,98463,81604,9.99
0,207,92544,27979,4.99
0,1398,112273,98284,12.99
0,0,803,0,0.0
63,351,41609,24750,6.99
59,149,33359,10044,9.99
73,10697,0,0,39.99
79,6006,663235,427928,19.99
83,388,101871,51473,9.99
0,104,8071,4663,4.99
69,1752,285345,141866,14.99
0,0,0,0,99.99
0,477,127518,45555,19.19
65,734,130387,59185,14.99
76,242,49500,21881,9.99
0,676,199795,67794,9.99
0,708,44658,25647,14.99
0,1435,1250963,354933,0.0
73,408,144735,67794,8.99
0,259,95952,30310,5.99
0,0,80707,13451,5.99
74,0,16680,3587,5.99
52,1781,145094,114604,29.99
0,0,0,0,0.0
0,540,23853,19190,14.99
55,683,101153,48066,3.74
0,484,125365,76762,9.99
0,0,17038,7353,9.99
0,0,10761,2511,5.99
85,9446,744121,555804,39.99
0,269,106534,12016,2.99
71,516,26185,16141,19.99
0,2146,241046,213067,9.99
61,0,10402,5919,9.99
0,301,38022,24212,6.99
61,514,127518,76044,0.99
84,3942,244633,215758,19.99
67,0,21343,6277,14.99
75,548,142583,76762,4.99
0,0,7353,5022,0.0
0,747,135947,88599,8.99
0,0,19549,6636,6.99
0,321,76224,43761,9.99
45,2396,498592,128594,9.99
0,501,59365,29951,9.99
82,6107,542532,280144,19.99
0,409,24750,22239,9.99
39,378,67794,31027,9.99
0,4726,678300,592392,19.99
0,0,0,0,0.0
0,11479,1670283,1670283,0.0
0,205,560467,114066,5.99
55,336,45734,11299,9.99
66,150,16859,7174,6.99
0,154,186524,17218,4.99
0,177,76941,12016,6.99
0,586,122675,66539,3.99
63,225,12554,9506,4.99
0,218,28517,20625,7.99
0,143,9326,7533,11.99
0,243,32104,12016,4.99
0,454,52191,34256,9.99
0,2355,218268,104023,1.99
0,1822,116398,71202,5.99
0,517,33000,29951,19.99
0,723,102588,55240,6.99
0,377,45734,32283,4.99
0,177,16859,9326,6.99
0,243,26364,24033,12.99
0,1667,150116,111735,6.99
0,226,29593,15245,4.99
0,211,19370,17218,14.99
0,862,109224,65821,2.99
57,139,114066,14707,0.0
0,716,50756,38560,4.99
0,0,23674,4663,9.99
0,0,31745,13451,9.99
0,304,28158,18832,4.99
0,274,69408,36229,19.99
72,339,39816,19011,19.99
69,531,52908,28696,14.99
0,1161,163746,96669,19.99
0,11294,473662,351705,14.99
65,543,66359,44120,1.99
0,109,44120,9506,9.99
66,109,38022,17756,19.99
78,0,4125,2511,14.99
76,0,13989,5919,14.99
72,300,52549,25647,9.99
64,154,32821,11120,4.99
68,0,71381,18832,4.99
66,0,69767,7891,4.99
78,415,94338,50756,4.99
69,634,140789,53626,9.99
80,398,92186,38201,14.99
0,17525,1136000,748605,24.99
0,2398,315835,170920,19.99
82,3407,493570,354933,13.99
0,0,12734,3587,19.99
54,289,29951,15245,3.24
68,756,347221,56316,19.99
59,2165,108506,70484,19.99
88,18387,781067,600462,0.0
75,12876,1708843,1446992,39.99
59,301,16141,8967,9.99
0,1098,55060,37843,4.99
0,0,65821,9506,9.99
55,0,13093,4125,5.99
69,1797,259340,180784,39.99
0,378,68512,24750,4.99
74,0,2152,535,14.99
0,0,42865,5201,11.99
0,112,32104,8071,4.99
74,373,28875,18652,19.99
0,0,11658,5560,4.99
0,0,13272,2690,7.99
0,488,57392,47348,14.99
0,2358,251089,173610,4.99
32,106,3946,2870,9.99
0,168,27261,17218,7.99
0,0,26185,15424,5.99
0,741,77658,52011,6.99
0,0,76224,7712,29.99
72,647,87881,59185,19.99
68,268,33000,18294,9.99
0,0,717,533,9.99
0,643,50397,26185,1.99
0,0,0,0,12.99
0,331,33359,20267,9.99
74,570,72637,46810,14.99
68,964,116577,71740,13.99
78,190,25647,12016,10.99
0,0,23136,8967,14.99
0,1205,157648,99539,24.99
76,727,39995,29951,9.99
0,0,23315,3946,1.99
0,533,83936,60261,11.99
0,0,1076,1076,0.0
0,4368,287318,228671,4.99
0,191,34435,24033,4.99
0,0,35511,4304,9.99
0,149,56854,10940,2.99
0,0,0,0,4.99
0,464,51294,34435,9.99
67,12204,855318,808867,29.99
0,1617,180605,130028,9.99
62,166,19011,8967,9.99
0,468,59544,40174,6.99
73,183,36229,11837,14.99
0,401,53805,34256,9.99
0,360,60082,40174,4.99
0,128,32642,19549,6.99
0,151,11120,6815,4.99
43,2644,1162006,571408,0.0
0,0,19011,8967,14.99
73,457,70664,41430,4.99
0,2426,184909,120523,9.99
0,0,3587,2152,9.99
0,751,35332,20984,4.99
0,337,72099,21343,6.99
0,636,80349,55598,4.99
0,3696,356547,332335,9.99
0,531,58468,32462,1.99
0,342,47348,26364,6.99
0,232,11837,10582,8.99
0,0,20446,11120,14.99
0,5124,635436,397080,1.49
54,193,18473,10044,19.99
72,127,53626,22598,14.99
0,127,38201,8250,6.99
0,6042,666463,535717,9.99
0,371,27261,22957,9.99
0,10391,548451,455189,4.99
0,200,29055,18652,2.99
0,1142,386319,193877,9.99
0,0,3049,2690,8.99
66,455,79811,53446,0.99
0,766,94338,63310,0.79
0,116,37484,16859,4.99
0,231,40892,24033,4.99
0,1401,801872,300590,0.0
0,0,1255,811,4.99
0,0,1793,1076,9.99
0,0,12734,8429,2.49
0,106,26006,2690,6.99
54,129,24750,12913,14.99
67,233,112632,46810,9.99
63,0,44479,21522,9.99
0,0,34973,3049,3.49
0,20434,1061570,1013325,19.99
0,1286,143121,85550,4.99
0,352,21522,18473,19.99
0,177,29413,18652,5.99
73,6584,496440,429184,19.99
50,681,76224,41609,0.49
0,209,74609,36587,2.49
0,0,1070,0,0.0
0,7277,475994,428107,29.99
74,941,142762,73713,6.79
0,1291,83398,65821,11.99
0,17156,2947610,1915812,0.0
0,449,53805,29055,2.99
66,746,63310,27799,14.99
0,0,31924,13810,4.99
55,345,17397,9685,19.99
0,201,53267,22957,9.99
82,319,50039,22957,19.99
0,180,34973,14348,7.99
0,195,7891,5022,2.99
76,723,187600,97028,14.99
0,1260,204817,113528,14.99
53,420,70664,25109,9.99
0,105,3587,2511,14.99
0,101,18652,10044,3.99
0,189,80887,36408,9.99
0,0,13989,5919,9.99
0,0,1793,1076,14.99
0,769,57571,35691,9.99
78,3709,369281,308481,24.99
0,0,29772,4484,1.99
0,0,4125,535,5.99
47,0,1793,1435,9.99
0,401,34256,17397,3.99
0,959,574815,108327,19.99
0,1606,320318,248040,19.99
57,1433,89137,75147,39.99
0,237,62952,31745,0.0
0,450,207866,100256,0.99
0,386,184909,24392,9.99
0,353,185806,23136,9.99
68,6788,510429,419857,19.99
0,0,0,0,0.0
0,254,44299,28875,5.99
0,687,61158,40354,6.99
0,712,194953,111197,4.99
0,0,3049,1873,4.99
0,0,20087,3408,9.99
0,479,310992,92006,19.19
0,2437,209660,178094,19.99
0,144,12196,6457,19.99
0,5613,419857,382553,9.99
0,195,37663,23315,9.99
0,404,52549,35153,2.99
75,1389,201948,121778,29.99
0,0,2332,1793,19.99
0,0,1793,1873,14.99
87,1217,137382,53984,5.99
0,306,65104,39816,14.99
0,213,44299,11658,6.99
0,10883,907688,769230,5.99
0,278,60620,23853,9.99
0,899,53626,33897,0.98
0,399,23853,22060,11.99
0,218,28696,14169,4.99
0,132,38201,7353,9.99
0,359,59185,31027,4.99
0,1196,112990,78196,7.99
0,170,28875,9864,9.99
0,0,538,538,3.39
62,624,45913,33000,19.99
79,460,104920,58109,9.99
0,152,23315,14348,11.99
91,0,14886,7353,9.99
0,1828,115860,114066,14.99
55,1639,101153,63131,14.99
61,323,36767,6995,1.99
0,322,89675,41250,7.99
0,0,20267,9506,9.99
0,239,16500,14527,9.99
0,0,0,0,5.99
0,531,97207,53984,4.99
0,0,1614,533,9.99
0,766,88419,49680,0.59
0,277,22598,10223,2.99
0,540,61158,45375,29.99
78,3161,226519,213605,14.99
0,146,12196,6995,9.99
0,0,3049,2332,19.99
0,370,19549,15962,11.99
62,313,26902,11658,4.99
0,0,23853,12554,4.99
53,0,0,0,14.99
0,0,897,533,5.99
0,2165,298976,194236,9.99
0,163,49859,22777,9.99
0,0,1793,1435,9.99
0,8367,571228,464336,0.99
0,1489,471869,108686,0.99
0,0,13272,2870,4.99
0,764,57392,45913,4.99
78,134,88778,22598,4.99
0,0,13272,7533,0.98
0,251,20805,15245,14.99
73,17673,3361011,1954193,0.0
0,405,127338,42147,2.99
0,816,203741,121240,9.99
96,136846,5886074,5756584,59.99
0,379,203024,98463,9.99
72,565,61876,34973,9.99
49,273,60620,18114,12.99
0,701,118550,60441,3.99
0,0,9326,3408,9.99
0,0,80707,11299,9.99
0,4701,550783,234769,0.0
0,0,4842,4484,0.0
0,176,32462,23495,44.99
70,126,12554,6457,14.99
77,1527,388651,192083,14.99
61,3889,307585,268486,29.99
0,769,49680,27440,6.99
0,24111,6954639,4315868,0.0
0,159,18114,12734,14.99
77,35278,4904673,3403517,0.0
0,430,52549,34614,9.99
0,123,17397,9864,5.99
91,163,27440,17038,9.99
0,0,9685,3766,9.99
0,109,10940,7533,9.99
0,0,22777,21343,17.99
0,274,9506,7712,12.99
0,12055,819628,579120,14.99
83,16455,1035206,892085,7.49
70,1027,114604,56136,12.99
75,1116,154420,104202,12.99
64,1677,253062,164822,9.99
80,552,132360,37125,9.99
0,0,0,0,19.99
74,185,16141,13093,19.99
70,355,11299,9147,19.99
0,846,48604,44837,14.99
0,1381,432591,253600,1.99
0,2930,432053,204100,0.49
65,12632,615348,552038,24.99
0,171,6277,4484,19.99
58,1395,301666,117474,14.99
68,332,73175,38022,14.99
0,492,100615,57751,14.99
80,790,154599,85550,14.99
0,919,209301,131822,6.99
0,1849,317269,181322,0.69
0,457,69767,39278,6.99
78,182,109941,25826,4.99
0,689,83756,48962,9.99
59,68725,820524,808687,59.99
0,0,23136,5560,12.99
60,199,11478,8071,14.99
0,126,85729,34614,7.99
0,124,36049,11658,7.99
0,0,42327,7533,7.99
79,0,4842,4304,9.99
70,3067,365694,279068,2.99
0,216,52011,23495,14.99
0,320,55778,26723,7.99
0,0,43761,23315,9.99
66,210,46810,19190,14.99
0,815,127338,71560,14.99
0,0,29055,4484,5.99
0,318,60800,44479,4.99
0,690,192980,88419,9.99
0,109,5919,5380,4.99
0,697,52549,40712,0.0
0,2513,754344,390803,0.0
71,2872,193698,183116,49.99
73,6675,399950,248937,12.99
0,0,34256,4663,12.99
0,0,123213,11837,9.99
0,0,3766,1973,4.99
0,166,34614,18294,14.99
0,225,90751,25647,1.99
0,345,71919,38919,9.99
83,196,51294,31745,4.99
45,115,12554,5380,14.99
0,0,1973,533,4.99
0,448,52011,28696,2.99
0,260,76941,34973,5.99
0,0,3228,2332,7.99
0,205,30848,15065,6.99
70,297,56136,24212,5.99
78,288,59365,30669,14.99
0,0,17397,3049,4.99
0,0,15424,8967,4.99
0,0,30310,3946,7.99
0,131,20446,12554,12.99
0,473,70843,38022,9.99
57,124,44120,12734,19.99
56,105,11658,6815,6.99
80,375,67077,34614,29.99
0,372,75147,53267,9.99
0,211,40354,23136,5.99
0,0,43223,39995,0.0
0,336,15424,11299,19.99
0,0,6815,2152,4.99
0,285,20984,18473,9.99
0,0,2152,1076,5.99
0,0,23495,11837,1.99
0,0,21343,8967,9.99
0,640,38022,36408,14.99
0,301,41788,20267,4.99
0,208,10761,9506,12.99
0,116,30489,10223,4.99
0,8837,2251196,1924062,0.0
0,0,6815,3946,9.99
0,344,34973,25647,3.99
0,267,25288,18473,4.99
0,0,26544,13989,1.49
0,178,109224,39816,9.99
0,534,80528,47707,9.99
0,0,7891,1873,4.99
0,0,5380,1435,4.99
62,255,36049,10582,9.99
0,0,4484,1351,5.99
0,3253,222932,171458,14.99
68,189,49142,24033,9.99
0,0,28517,6277,8.99
0,152,55598,22239,7.99
0,171,31924,16680,9.99
55,947,61696,38740,9.99
0,241,74609,27082,9.99
0,270,83398,36946,9.99
83,19903,1606793,1325214,19.99
0,430,93800,46631,6.99
84,6144,334128,223828,29.99
0,0,717,803,0.0
0,10249,2606308,1380812,9.99
0,612,85012,49321,14.99
0,0,16859,4484,9.99
72,0,897,717,11.99
0,0,13272,3228,0.0
0,106,10044,8429,2.99
0,151,13093,5201,13.99
0,0,23674,15962,9.99
0,181,13272,10940,4.99
0,440,24750,21522,19.99
75,101,43044,19011,9.99
0,833,87523,46093,2.99
0,0,36587,7174,9.99
70,1650,450347,229388,9.99
0,159,126083,10044,0.99
69,135,134871,14348,9.99
52,506,195132,30310,0.99
67,174,152626,69588,9.99
0,130,122316,9685,0.99
0,354,298796,44120,9.99
84,2021,139713,128773,17.99
0,288,68691,38022,2.99
86,927,122137,75506,14.99
0,0,42506,11837,7.99
0,0,39995,8788,7.99
0,686,282296,69588,0.0
0,160,24033,8071,6.99
0,189,37843,20805,6.99
0,386,52729,32104,6.99
0,167,43044,22598,6.99
0,0,16680,2332,4.99
0,0,28696,4125,4.99
0,170,16680,9685,9.99
0,0,0,0,0.0
32,0,19190,11120,4.99
0,0,9685,6815,9.99
0,0,18832,9147,5.99
0,0,1793,1435,0.0
79,581,67077,38201,9.99
58,0,6815,3228,19.99
78,1212,200333,99718,9.99
0,0,2870,1076,4.99
0,650,67794,43941,9.99
0,243,54164,27799,3.49
0,392,53087,34973,9.99
0,555,92544,47886,9.99
0,395,85370,46452,9.99
0,311,74609,39098,9.99
0,511,72637,42327,9.99
0,685,72816,43761,9.99
0,283,61338,32283,9.99
0,125,53446,21881,9.99
0,0,40533,6457,9.99
0,204,22777,9326,19.99
0,340,139355,72816,6.99
62,0,79631,32462,14.99
0,0,19190,8071,14.99
0,2282,408379,287318,4.99
0,0,0,0,0.0
85,753,116219,56854,9.99
0,670,44299,31924,7.99
0,0,9326,4842,7.99
0,1086,498412,205893,0.0
0,0,2152,1067,9.99
74,295,91289,36946,14.99
0,643,267769,142762,9.99
0,1930,176301,170561,19.99
0,134,9685,8071,4.99
68,0,19908,8071,19.99
59,2080,185447,119088,4.99
0,4702,656599,391520,0.0
64,259,73892,19549,15.0
0,204,59723,29593,14.99
61,242,56854,30489,4.99
0,2889,139713,102409,9.99
0,580,244274,127876,6.99
0,0,108865,5022,4.99
71,132,53984,10940,9.99
75,0,57213,11658,9.99
