Metacritic,Recomendaciones,Propietarios,Jugadores,Precio
89,2318,860878,418961,9.99
85,237,206073,57571,9.99
85,260,267410,83756,9.99
91,586,251627,130566,9.99
92,1230,344889,191904,9.99
80,492,247861,97028,9.99
89,558,239432,119985,9.99
82,0,101691,13451,4.99
59,110,74968,21163,9.99
58,133,14886,10761,9.99
79,4031,812095,607636,19.99
78,2133,507021,403178,9.99
0,1113,199078,123572,9.99
87,349,98822,64566,9.99
72,0,21522,13810,9.99
66,150,15424,8967,9.99
80,327,124110,63490,9.99
79,485,112093,68512,9.99
81,579,173969,128773,9.99
0,399,104023,75327,9.99
0,876,268666,139534,9.99
0,1539,981222,447657,0.74
0,540,364618,138279,0.74
0,394,204459,71740,1.24
0,615,231361,109224,2.49
79,2524,1910790,795057,14.99
65,376,118191,19908,1.99
61,1710,289291,138279,4.99
50,1794,288035,128414,2.99
86,7269,1883350,981580,0.0
91,3881,1001129,798823,19.99
84,1131,847606,380939,19.99
84,1131,847606,380939,19.99
81,14960,2800364,1878508,19.99
65,1726,301666,234589,9.99
89,6793,1551374,1257241,19.99
86,5984,2261060,1072152,19.99
0,2862,693904,394748,0.0
71,1706,417167,266693,9.99
0,451,100615,100615,0.0
0,384,255573,135947,7.99
0,121,218806,55957,7.99
77,419,127876,75327,14.99
77,419,127876,75327,14.99
78,115,93082,23853,14.99
63,154,125365,48424,14.99
73,187,68512,35870,9.99
63,0,32642,7174,9.99
0,716,117295,84115,4.99
64,409,79273,62952,39.99
63,0,11120,6995,14.99
0,0,1793,539,9.99
0,377,106892,27261,4.99
0,0,5380,1614,4.99
0,0,14169,2870,4.99
75,7107,661800,495005,0.0
84,154,92903,48066,9.99
72,0,2870,808,9.99
85,556,139534,84653,9.99
85,4267,1272844,785192,9.99
82,783,264720,119267,9.99
82,5452,1034488,701257,19.99
75,2701,657854,324085,9.99
78,945,542532,204100,9.99
64,446,512222,119806,9.99
0,0,17397,12016,9.99
83,0,39278,24750,9.99
84,904,410890,218627,9.99
86,15728,3165161,2256218,9.99
80,550,221317,129132,19.99
61,294,40533,23495,4.99
44,110,34076,8609,4.99
88,3981,1230518,572125,9.99
74,5010,1844431,911096,19.99
88,3981,1230518,572125,9.99
